,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Eerste kleur,Cilinderinhoud,Datum eerste toelating,Datum eerste tenaamstelling in Nederland,Catalogusprijs
4463,P057PR,Personenauto,BMW,IX3,20220514,ZWART,,20220514,20220514,68293
4464,P057RB,Personenauto,MERCEDES-BENZ,EQE 350+,20220713,ZWART,,20220518,20220518,104677
4465,P057RJ,Personenauto,PEUGEOT,208,20220527,BLAUW,,20220527,20220527,37029
4466,P057SK,Personenauto,AUDI,Q4 40 E-TRON,20220604,BLAUW,,20220604,20220604,52900
4467,P057SN,Personenauto,PEUGEOT,208,20220610,WIT,,20220610,20220610,30830
4468,P057TN,Personenauto,CITROEN,E-C4,20220618,BLAUW,,20220618,20220618,41099
4469,P057TV,Personenauto,PEUGEOT,208,20220621,WIT,,20220621,20220621,31999
4470,P057TX,Personenauto,TESLA,MODEL Y,20220622,WIT,,20220622,20220622,64000
4471,P057TZ,Personenauto,TESLA,MODEL Y,20220630,ROOD,,20220630,20220630,67500
4472,P057VN,Personenauto,PEUGEOT,208,20220629,GEEL,,20220629,20220629,30049
4473,P057XT,Personenauto,OPEL,MOKKA,20220630,WIT,,20220630,20220630,38293
4474,P057ZR,Personenauto,VOLKSWAGEN,ID.4 PRO 150 KW,20220721,ZWART,,20220721,20220721,52365
4475,P057ZZ,Personenauto,CUPRA,BORN 150 KW 58/62 KWH,20220725,GRIJS,,20220725,20220725,40675
4476,P058BJ,Personenauto,BMW,IX3,20220401,ZWART,,20220127,20220127,75494
4477,P058BS,Personenauto,FIAT,500,20220131,ZWART,,20220131,20220131,37946
4478,P058BX,Personenauto,HYUNDAI,IONIQ5,20220204,GROEN,,20220204,20220204,45505
4479,P058FL,Personenauto,PEUGEOT,2008,20220226,ZWART,,20220226,20220226,40750
4480,P058FN,Personenauto,RENAULT,ZOE,20220226,PAARS,,20220226,20220226,37305
4481,P058GH,Personenauto,KIA,NIRO,20220309,BLAUW,,20220309,20220309,42345
4482,P058GR,Personenauto,KIA,NIRO,20220310,ZWART,,20220310,20220310,45845
4483,P058GT,Personenauto,HYUNDAI,KONA,20220311,ROOD,,20220311,20220311,41290
4484,P058HH,Personenauto,AUDI,Q4 40 E-TRON,20220317,ZWART,,20220317,20220317,64191
4485,P058JL,Personenauto,MG,MG ZS EV,20220325,ZWART,,20220325,20220325,35140
4486,P058KH,Personenauto,CUPRA,BORN,20220330,GRIJS,,20220330,20220330,43675
4487,P058KJ,Personenauto,SKODA,ENYAQ 80,20220613,GRIJS,,20220429,20220429,52985
4488,P058LD,Personenauto,KIA,NIRO,20220421,ZWART,,20220421,20220421,42345
4489,P058NH,Personenauto,DACIA,SPRING,20220429,WIT,,20220429,20220429,18585
4490,P058NR,Personenauto,PEUGEOT,208,20220429,WIT,,20220429,20220429,30250
4491,P058NV,Personenauto,CITROEN,E-BERLINGO,20220630,WIT,,20220630,20220630,44099
4492,P058PB,Personenauto,VOLKSWAGEN,ID.4 PRO 150 KW,20220509,WIT,,20220509,20220509,51005
4493,P058PN,Personenauto,BMW,IX3,20220513,GRIJS,,20220513,20220513,69334
